,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price_scaled
0,Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,16.118095750958314
1,Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0,15.581952390148196
2,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,15.226497775576945
8,Mercedes-Benz E-Class E350 Petrol,2009,1000000,80000,Petrol,Individual,Automatic,Third Owner,10.93,3498.0,272.0,5.0,13.815511557963774
9,Jaguar XF 3.0 Litre S Premium Luxury,2014,2000000,51000,Diesel,Individual,Automatic,First Owner,14.74,2993.0,270.9,5.0,14.508658238524095
10,Jaguar XF Diesel,2015,2500000,13500,Diesel,Dealer,Automatic,First Owner,14.74,2993.0,270.9,5.0,14.731801689838349
12,Jaguar XF 3.0 Litre S Premium Luxury,2016,3500000,35000,Diesel,Individual,Automatic,First Owner,14.74,2993.0,270.9,5.0,15.068273812173887
13,BMW X7 xDrive 30d DPE,2020,7200000,5000,Diesel,Individual,Automatic,First Owner,13.38,2993.0,265.0,7.0,15.789591722875162
14,BMW 6 Series GT 630d Luxury Line,2018,6000000,28156,Diesel,Dealer,Automatic,First Owner,17.09,2993.0,261.4,4.0,15.607270193858982
16,BMW 6 Series GT 630d Luxury Line,2018,5500000,22000,Diesel,Individual,Automatic,First Owner,17.09,2993.0,261.4,4.0,15.520258832020865
17,BMW 6 Series GT 630d Luxury Line,2018,6000000,27000,Diesel,Dealer,Automatic,First Owner,17.09,2993.0,261.4,4.0,15.607270193858982
18,BMW 6 Series GT 630d Luxury Line,2018,5830000,30000,Diesel,Individual,Automatic,First Owner,17.09,2993.0,261.4,4.0,15.578527729853247
20,BMW 7 Series 730Ld,2007,750000,60000,Diesel,Individual,Automatic,Second Owner,14.49,2993.0,258.0,5.0,13.527829818844937
21,BMW 7 Series 730Ld,2010,2000000,90000,Diesel,Individual,Automatic,Second Owner,14.49,2993.0,258.0,5.0,14.508658238524095
22,Mercedes-Benz M-Class ML 350 CDI,2013,3600000,50000,Diesel,Individual,Automatic,First Owner,11.74,2987.0,254.8,5.0,15.096444681204078
23,Mercedes-Benz M-Class ML 350 CDI,2014,2575000,70000,Diesel,Individual,Automatic,First Owner,11.74,2987.0,254.8,5.0,14.761360480429413
24,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,3250000,33000,Diesel,Individual,Automatic,First Owner,11.3,2987.0,254.8,7.0,14.99416586199818
25,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,15.607270193858982
28,Audi Q5 3.0 TDI Quattro,2014,1850000,76131,Diesel,Individual,Automatic,First Owner,13.22,2967.0,241.4,5.0,14.430696737594902
29,Audi Q5 45 TDI quattro Technology,2015,2700000,105000,Diesel,Dealer,Automatic,Second Owner,13.22,2967.0,241.4,5.0,14.80876270134486
31,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,14.790070575320824
32,Audi Q7 3.0 TDI Quattro,2014,3000000,65000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,14.914123179965662
33,Audi Q7 3.0 TDI Quattro Premium Plus,2012,1850000,70000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,14.430696737594902
34,Audi Q7 3.0 TDI Quattro,2009,810000,98000,Diesel,Individual,Automatic,Fourth & Above Owner,12.07,2967.0,241.4,7.0,13.60479076121576
35,Audi Q7 3.0 TDI Quattro,2010,1750000,110000,Diesel,Individual,Automatic,Second Owner,12.07,2967.0,241.4,7.0,14.375126917328105
36,Audi Q7 3.0 TDI Quattro,2009,1025000,120000,Diesel,Individual,Automatic,Third Owner,12.07,2967.0,241.4,7.0,13.840204146163925
37,BMW X6 xDrive30d,2013,3750000,56000,Diesel,Dealer,Automatic,First Owner,11.2,2993.0,241.0,4.0,15.137266664613225
39,BMW 5 Series 530d,2013,2000000,60000,Diesel,Individual,Automatic,First Owner,16.2,2993.0,235.0,5.0,14.508658238524095
40,BMW X5 3.0d,2008,830000,60000,Diesel,Individual,Automatic,Third Owner,11.0,2993.0,235.0,5.0,13.629182184591333
41,Volvo XC60 Inscription D5 BSIV,2018,5500000,50000,Diesel,Individual,Automatic,First Owner,11.2,1969.0,235.0,5.0,15.520258832020865
42,Mercedes-Benz GL-Class 350 CDI Luxury,2016,4090000,70000,Diesel,Dealer,Automatic,First Owner,12.0,2987.0,224.0,7.0,15.224055772517731
43,Honda Accord V6 AT,2004,275000,100000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5.0,12.524530013005734
44,Honda Accord V6 AT,2005,285000,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5.0,12.560247968016562
45,BMW 5 Series 525d,2010,1000000,60000,Diesel,Individual,Automatic,First Owner,16.73,1995.0,218.0,5.0,13.815511557963774
46,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,15.454507466814658
80,Mercedes-Benz E-Class E 250 Elegance,2011,1190000,80000,Petrol,Individual,Automatic,Second Owner,10.93,2497.0,204.0,5.0,13.989464705423494
81,Mercedes-Benz E-Class E 250 Elegance,2010,1200000,35000,Petrol,Individual,Automatic,Second Owner,10.93,2497.0,204.0,5.0,13.997832948091215
82,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,14.80876270134486
83,Mercedes-Benz New C-Class C 250 CDI Elegance,2011,1000000,90000,Diesel,Dealer,Automatic,First Owner,14.94,2143.0,204.0,5.0,13.815511557963774
84,Mercedes-Benz E-Class E250 CDI Avantgarde,2016,3000000,40000,Diesel,Individual,Automatic,First Owner,13.0,2143.0,204.0,5.0,14.914123179965662
85,Mercedes-Benz E-Class E250 CDI Avantgarde,2016,2900000,31000,Diesel,Dealer,Automatic,First Owner,13.0,2143.0,204.0,5.0,14.88022163978423
